PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Credit card (automatic),83.7,DSL,Yes,No
Mailed check,19.85,No,No internet service,No internet service
Electronic check,59.55,DSL,Yes,No
Credit card (automatic),115.1,Fiber optic,Yes,Yes
Credit card (automatic),114.35,Fiber optic,Yes,Yes
Credit card (automatic),44.6,DSL,No,No
Electronic check,45.0,DSL,Yes,Yes
Electronic check,41.15,DSL,Yes,No
Electronic check,106.9,Fiber optic,Yes,No
Electronic check,89.85,Fiber optic,No,No
Bank transfer (automatic),49.85,DSL,No,Yes
Mailed check,113.3,Fiber optic,Yes,Yes
Mailed check,88.1,DSL,Yes,Yes
Bank transfer (automatic),24.9,No,No internet service,No internet service
Mailed check,105.0,Fiber optic,No,Yes
Mailed check,19.35,No,No internet service,No internet service
Credit card (automatic),24.25,No,No internet service,No internet service
Electronic check,94.45,Fiber optic,No,No
Electronic check,59.75,DSL,No,Yes
Bank transfer (automatic),24.8,DSL,No,No
Electronic check,107.05,Fiber optic,No,No
Mailed check,70.6,Fiber optic,No,No
Electronic check,85.4,Fiber optic,No,No
Electronic check,105.05,Fiber optic,Yes,No
Bank transfer (automatic),64.95,DSL,No,Yes
Electronic check,55.0,DSL,Yes,No
Bank transfer (automatic),50.55,DSL,No,No
Mailed check,55.15,DSL,No,Yes
Electronic check,51.2,DSL,No,No
Mailed check,25.4,No,No internet service,No internet service
Mailed check,54.45,DSL,No,Yes
Mailed check,95.15,Fiber optic,Yes,No
Credit card (automatic),76.0,Fiber optic,No,No
Electronic check,44.35,DSL,No,No
Electronic check,70.0,Fiber optic,No,No
Electronic check,74.5,Fiber optic,No,No
Credit card (automatic),44.85,DSL,No,No
Electronic check,76.1,Fiber optic,No,No
Mailed check,61.2,DSL,Yes,Yes
Mailed check,86.8,Fiber optic,Yes,No
Electronic check,89.35,Fiber optic,No,No
Mailed check,19.7,No,No internet service,No internet service
Mailed check,20.25,No,No internet service,No internet service
Electronic check,76.05,Fiber optic,Yes,No
Electronic check,100.8,Fiber optic,Yes,No
Electronic check,74.55,DSL,Yes,No
Mailed check,73.6,Fiber optic,No,Yes
Bank transfer (automatic),64.9,DSL,No,No
Electronic check,95.45,Fiber optic,No,No
Electronic check,90.4,Fiber optic,Yes,No
Credit card (automatic),60.3,DSL,Yes,No
Mailed check,81.85,Fiber optic,No,No
Mailed check,24.8,No,No internet service,No internet service
Electronic check,74.9,Fiber optic,No,No
Mailed check,75.55,DSL,Yes,No
Electronic check,101.15,Fiber optic,No,No
Credit card (automatic),78.75,DSL,Yes,Yes
Bank transfer (automatic),19.25,No,No internet service,No internet service
Electronic check,89.05,Fiber optic,No,Yes
Credit card (automatic),115.05,Fiber optic,Yes,Yes
Electronic check,69.35,Fiber optic,No,No
Electronic check,80.6,Fiber optic,No,No
Credit card (automatic),110.05,Fiber optic,No,Yes
Credit card (automatic),19.9,No,No internet service,No internet service
Credit card (automatic),80.3,DSL,No,Yes
Electronic check,93.15,Fiber optic,Yes,No
Credit card (automatic),91.5,Fiber optic,No,No
Bank transfer (automatic),82.45,DSL,No,Yes
Electronic check,60.0,DSL,Yes,No
Electronic check,44.8,DSL,No,No
Mailed check,48.6,DSL,No,Yes
Bank transfer (automatic),60.05,DSL,No,Yes
Credit card (automatic),102.7,Fiber optic,No,No
Electronic check,82.9,Fiber optic,No,No
Electronic check,70.35,Fiber optic,No,No
Electronic check,35.9,DSL,No,No
Credit card (automatic),82.65,Fiber optic,Yes,No
Mailed check,19.85,No,No internet service,No internet service
Mailed check,19.2,No,No internet service,No internet service
Credit card (automatic),94.9,Fiber optic,Yes,No
Electronic check,73.85,Fiber optic,No,No
Mailed check,80.6,Fiber optic,Yes,No
Bank transfer (automatic),75.8,DSL,Yes,No
Electronic check,104.6,Fiber optic,Yes,No
Electronic check,88.15,DSL,Yes,Yes
Credit card (automatic),94.8,Fiber optic,No,No
Electronic check,103.4,Fiber optic,Yes,No
Bank transfer (automatic),54.65,DSL,No,No
Credit card (automatic),85.75,DSL,Yes,Yes
Bank transfer (automatic),67.45,DSL,Yes,Yes
Mailed check,20.5,No,No internet service,No internet service
Credit card (automatic),20.25,No,No internet service,No internet service
Electronic check,72.1,Fiber optic,No,No
Electronic check,90.4,Fiber optic,No,No
Bank transfer (automatic),19.45,No,No internet service,No internet service
Electronic check,44.95,DSL,No,No
Bank transfer (automatic),97.0,Fiber optic,Yes,Yes
Credit card (automatic),62.8,DSL,Yes,Yes
Mailed check,44.6,DSL,No,No
Electronic check,89.15,Fiber optic,No,No
Bank transfer (automatic),84.8,Fiber optic,Yes,No
Electronic check,41.9,DSL,No,Yes
Bank transfer (automatic),80.25,Fiber optic,No,No
Electronic check,54.1,DSL,No,Yes
Electronic check,105.25,Fiber optic,No,No
Credit card (automatic),30.75,DSL,No,Yes
Electronic check,97.1,Fiber optic,No,Yes
Mailed check,20.2,No,No internet service,No internet service
Bank transfer (automatic),98.8,Fiber optic,No,No
Credit card (automatic),50.3,DSL,Yes,No
Mailed check,20.55,No,No internet service,No internet service
Bank transfer (automatic),75.9,Fiber optic,No,No
Bank transfer (automatic),96.5,Fiber optic,Yes,No
Bank transfer (automatic),59.95,DSL,No,Yes
Mailed check,19.15,No,No internet service,No internet service
Credit card (automatic),98.65,Fiber optic,Yes,No
Credit card (automatic),112.6,Fiber optic,Yes,Yes
Mailed check,20.6,No,No internet service,No internet service
Electronic check,85.65,Fiber optic,No,No
Mailed check,35.75,DSL,No,Yes
Credit card (automatic),99.75,Fiber optic,Yes,No
Credit card (automatic),96.1,Fiber optic,No,No
Credit card (automatic),85.1,DSL,Yes,No
Mailed check,25.35,DSL,No,No
Bank transfer (automatic),104.95,Fiber optic,Yes,No
Electronic check,89.65,DSL,Yes,Yes
Electronic check,86.75,Fiber optic,Yes,No
Bank transfer (automatic),86.2,Fiber optic,Yes,No
Mailed check,50.65,DSL,No,No
Bank transfer (automatic),64.8,DSL,Yes,Yes
Credit card (automatic),90.85,Fiber optic,No,No
Bank transfer (automatic),108.1,Fiber optic,Yes,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,85.45,Fiber optic,Yes,No
Electronic check,54.75,DSL,Yes,Yes
Mailed check,90.4,Fiber optic,Yes,No
Electronic check,44.0,DSL,No,No
Bank transfer (automatic),95.6,Fiber optic,No,No
Bank transfer (automatic),84.8,DSL,Yes,No
Electronic check,44.3,DSL,No,No
Mailed check,19.9,No,No internet service,No internet service
Electronic check,95.05,Fiber optic,No,No
Credit card (automatic),90.05,DSL,Yes,Yes
Bank transfer (automatic),109.9,Fiber optic,Yes,Yes
Credit card (automatic),73.95,Fiber optic,No,No
Electronic check,54.6,DSL,Yes,No
Mailed check,20.05,No,No internet service,No internet service
Bank transfer (automatic),19.75,No,No internet service,No internet service
Credit card (automatic),20.05,No,No internet service,No internet service
Credit card (automatic),99.45,Fiber optic,Yes,No
Bank transfer (automatic),55.9,DSL,No,Yes
Mailed check,19.7,No,No internet service,No internet service
Credit card (automatic),19.8,No,No internet service,No internet service
Bank transfer (automatic),95.4,Fiber optic,Yes,Yes
Mailed check,93.95,Fiber optic,No,No
Mailed check,19.9,No,No internet service,No internet service
Mailed check,19.6,No,No internet service,No internet service
Electronic check,81.35,Fiber optic,No,No
Bank transfer (automatic),24.45,No,No internet service,No internet service
Electronic check,74.95,Fiber optic,No,No
Electronic check,87.35,Fiber optic,Yes,No
Bank transfer (automatic),70.65,Fiber optic,No,No
Bank transfer (automatic),73.25,Fiber optic,No,No
Bank transfer (automatic),98.7,Fiber optic,Yes,No
Mailed check,24.8,No,No internet service,No internet service
Electronic check,83.3,Fiber optic,No,No
Bank transfer (automatic),75.3,Fiber optic,Yes,No
Mailed check,24.3,No,No internet service,No internet service
Bank transfer (automatic),69.85,Fiber optic,No,No
Credit card (automatic),100.55,Fiber optic,Yes,No
Mailed check,25.7,No,No internet service,No internet service
Bank transfer (automatic),40.7,DSL,Yes,Yes
Bank transfer (automatic),51.65,DSL,No,No
Bank transfer (automatic),105.1,Fiber optic,Yes,No
Electronic check,85.95,Fiber optic,No,No
Bank transfer (automatic),75.6,Fiber optic,No,No
Bank transfer (automatic),58.25,DSL,No,Yes
Mailed check,19.4,No,No internet service,No internet service
Credit card (automatic),65.2,DSL,Yes,Yes
Electronic check,53.45,DSL,Yes,Yes
Bank transfer (automatic),45.4,DSL,No,No
Electronic check,19.75,No,No internet service,No internet service
Credit card (automatic),44.45,DSL,Yes,No
Bank transfer (automatic),20.85,No,No internet service,No internet service
Credit card (automatic),114.05,Fiber optic,Yes,Yes
Bank transfer (automatic),89.85,Fiber optic,No,No
Mailed check,55.05,DSL,Yes,No
Electronic check,112.95,Fiber optic,Yes,Yes
Credit card (automatic),101.55,Fiber optic,No,Yes
Mailed check,114.65,Fiber optic,Yes,Yes
Electronic check,64.8,DSL,No,Yes
Electronic check,80.4,Fiber optic,No,No
Electronic check,105.9,Fiber optic,Yes,No
Mailed check,69.55,Fiber optic,No,No
Bank transfer (automatic),25.05,No,No internet service,No internet service
Electronic check,94.75,Fiber optic,Yes,No
Bank transfer (automatic),105.5,Fiber optic,No,Yes
Mailed check,24.7,No,No internet service,No internet service
Mailed check,69.75,DSL,Yes,Yes
Bank transfer (automatic),60.2,DSL,Yes,No
Electronic check,81.05,Fiber optic,No,No
Mailed check,24.4,No,No internet service,No internet service
Electronic check,104.15,Fiber optic,Yes,No
Bank transfer (automatic),92.9,Fiber optic,Yes,No
Bank transfer (automatic),80.8,DSL,Yes,No
Mailed check,20.0,No,No internet service,No internet service
Electronic check,75.1,Fiber optic,No,No
Mailed check,19.65,No,No internet service,No internet service
Bank transfer (automatic),69.45,DSL,No,No
Electronic check,101.15,Fiber optic,Yes,No
Electronic check,99.8,Fiber optic,No,No
Bank transfer (automatic),116.05,Fiber optic,Yes,Yes
Mailed check,40.05,DSL,No,No
Electronic check,102.1,Fiber optic,Yes,No
Electronic check,89.7,Fiber optic,No,No
Mailed check,19.9,No,No internet service,No internet service
Electronic check,55.95,DSL,No,No
Mailed check,20.65,No,No internet service,No internet service
Electronic check,55.0,DSL,No,No
Mailed check,70.05,DSL,Yes,No
Mailed check,53.6,DSL,No,Yes
Electronic check,74.7,Fiber optic,No,No
Electronic check,80.25,Fiber optic,No,No
Electronic check,76.05,DSL,No,No
Electronic check,75.7,DSL,Yes,Yes
Electronic check,96.1,Fiber optic,No,No
Bank transfer (automatic),69.0,Fiber optic,No,No
Mailed check,19.65,No,No internet service,No internet service
Bank transfer (automatic),45.3,DSL,Yes,Yes
Electronic check,81.45,Fiber optic,No,No
Bank transfer (automatic),108.5,Fiber optic,Yes,No
Electronic check,83.55,Fiber optic,No,No
Credit card (automatic),84.5,Fiber optic,No,No
Electronic check,100.15,Fiber optic,No,No
Bank transfer (automatic),88.6,DSL,Yes,No
Bank transfer (automatic),52.55,DSL,Yes,Yes
Electronic check,74.35,Fiber optic,No,No
Bank transfer (automatic),104.8,Fiber optic,Yes,No
Electronic check,59.0,DSL,No,No
Electronic check,74.4,Fiber optic,No,Yes
Bank transfer (automatic),64.05,DSL,No,No
Mailed check,20.4,No,No internet service,No internet service
Bank transfer (automatic),43.75,DSL,Yes,No
Mailed check,60.9,DSL,No,Yes
Bank transfer (automatic),19.8,No,No internet service,No internet service
Electronic check,28.45,DSL,No,No
Bank transfer (automatic),99.7,Fiber optic,Yes,Yes
Credit card (automatic),116.25,Fiber optic,Yes,Yes
Credit card (automatic),80.7,Fiber optic,No,Yes
Bank transfer (automatic),65.2,DSL,No,Yes
Bank transfer (automatic),84.05,Fiber optic,Yes,Yes
Credit card (automatic),79.45,DSL,Yes,Yes
Electronic check,94.1,Fiber optic,Yes,No
Mailed check,78.0,Fiber optic,Yes,No
Electronic check,94.2,Fiber optic,No,No
Electronic check,80.5,Fiber optic,No,No
Mailed check,19.85,No,No internet service,No internet service
Credit card (automatic),94.3,Fiber optic,Yes,Yes
Electronic check,106.45,Fiber optic,Yes,Yes
Electronic check,74.35,Fiber optic,No,No
Bank transfer (automatic),105.45,Fiber optic,No,No
Credit card (automatic),95.0,Fiber optic,Yes,Yes
Bank transfer (automatic),104.8,Fiber optic,Yes,No
Mailed check,54.3,DSL,No,Yes
Electronic check,70.05,Fiber optic,No,No
Bank transfer (automatic),75.2,Fiber optic,No,Yes
Credit card (automatic),20.05,No,No internet service,No internet service
Electronic check,105.4,Fiber optic,Yes,No
Electronic check,51.6,DSL,No,No
Bank transfer (automatic),85.5,Fiber optic,No,No
Bank transfer (automatic),75.6,Fiber optic,No,No
Electronic check,100.05,Fiber optic,Yes,No
Electronic check,91.25,Fiber optic,Yes,Yes
Credit card (automatic),115.75,Fiber optic,Yes,Yes
Credit card (automatic),94.7,Fiber optic,No,No
Mailed check,19.6,No,No internet service,No internet service
Bank transfer (automatic),99.9,Fiber optic,Yes,No
Credit card (automatic),21.1,No,No internet service,No internet service
Credit card (automatic),20.05,No,No internet service,No internet service
Electronic check,79.95,Fiber optic,No,No
Credit card (automatic),107.15,Fiber optic,Yes,No
Electronic check,85.0,Fiber optic,No,No
Electronic check,89.55,Fiber optic,Yes,No
Bank transfer (automatic),81.55,Fiber optic,No,No
Mailed check,58.45,DSL,Yes,Yes
Credit card (automatic),95.65,Fiber optic,No,No
Bank transfer (automatic),80.6,DSL,Yes,No
Bank transfer (automatic),113.1,Fiber optic,Yes,Yes
Mailed check,58.95,DSL,No,No
Mailed check,19.55,No,No internet service,No internet service
Bank transfer (automatic),86.05,Fiber optic,No,No
Credit card (automatic),45.55,DSL,No,Yes
Bank transfer (automatic),78.95,Fiber optic,No,No
Mailed check,86.3,Fiber optic,No,No
Bank transfer (automatic),105.05,Fiber optic,No,No
Bank transfer (automatic),101.9,Fiber optic,Yes,Yes
Mailed check,19.75,No,No internet service,No internet service
Bank transfer (automatic),110.3,Fiber optic,Yes,Yes
Bank transfer (automatic),115.6,Fiber optic,Yes,Yes
Bank transfer (automatic),19.35,No,No internet service,No internet service
Credit card (automatic),25.6,No,No internet service,No internet service
Bank transfer (automatic),80.35,Fiber optic,No,No
Bank transfer (automatic),68.75,DSL,Yes,Yes
Bank transfer (automatic),19.9,No,No internet service,No internet service
Mailed check,70.6,DSL,No,Yes
Electronic check,70.2,Fiber optic,No,No
Electronic check,49.3,DSL,No,No
Electronic check,107.25,Fiber optic,No,No
Mailed check,23.6,No,No internet service,No internet service
Credit card (automatic),69.7,DSL,No,Yes
Credit card (automatic),99.5,Fiber optic,Yes,No
Bank transfer (automatic),64.3,DSL,Yes,No
Credit card (automatic),70.85,DSL,Yes,Yes
Electronic check,101.9,Fiber optic,No,Yes
Credit card (automatic),73.5,DSL,No,Yes
Electronic check,100.25,Fiber optic,Yes,No
Credit card (automatic),40.4,DSL,Yes,No
Credit card (automatic),19.25,No,No internet service,No internet service
Bank transfer (automatic),59.6,DSL,No,No
Credit card (automatic),64.9,DSL,Yes,No
Credit card (automatic),100.3,Fiber optic,No,No
Electronic check,110.85,Fiber optic,Yes,No
Mailed check,81.05,DSL,No,Yes
Bank transfer (automatic),98.05,Fiber optic,Yes,Yes
Electronic check,70.5,Fiber optic,No,No
Electronic check,94.55,Fiber optic,No,Yes
Mailed check,19.65,No,No internet service,No internet service
Mailed check,19.0,No,No internet service,No internet service
Mailed check,75.3,Fiber optic,No,Yes
Electronic check,89.2,Fiber optic,Yes,No
Mailed check,19.0,No,No internet service,No internet service
Mailed check,20.0,No,No internet service,No internet service
Electronic check,85.7,Fiber optic,No,No
Credit card (automatic),63.25,DSL,No,Yes
Mailed check,20.1,No,No internet service,No internet service
Electronic check,99.15,Fiber optic,Yes,Yes
Electronic check,90.4,DSL,Yes,Yes
Credit card (automatic),111.9,Fiber optic,Yes,Yes
Electronic check,24.9,No,No internet service,No internet service
Credit card (automatic),83.5,DSL,Yes,Yes
Credit card (automatic),84.3,Fiber optic,Yes,Yes
Mailed check,45.6,DSL,No,No
Mailed check,61.65,DSL,Yes,Yes
Mailed check,54.85,DSL,Yes,Yes
